doi	fk_idx	cole_idx	date
srep00493	18.1	28.3	2012-07-04T00:00:00Z
srep00497	15.9	23.19	2012-07-06T00:00:00Z
srep00504	15.4	24.93	2012-07-11T00:00:00Z
srep00506	17.8	27.78	2012-07-12T00:00:00Z
srep00510	18.4	28.92	2012-07-13T00:00:00Z
srep00508	17.0	30.84	2012-07-13T00:00:00Z
srep00486	20.8	30.27	2012-07-05T00:00:00Z
srep00492	17.6	30.77	2012-07-04T00:00:00Z
srep00494	19.3	30.33	2012-07-04T00:00:00Z
srep00496	17.1	29.91	2012-07-06T00:00:00Z
srep00498	18.0	28.18	2012-07-09T00:00:00Z
srep00501	18.9	34.25	2012-07-10T00:00:00Z
ijosup201223	21.7	24.25	2012-12-11T00:00:00Z
nclimate1555	17.4	29.28	2012-08-19T00:00:00Z
ijosup201216	20.3	29.81	2012-12-11T00:00:00Z
ijosup201218	23.1	24.55	2012-12-11T00:00:00Z
nclimate1433	15.4	24.81	2012-03-04T00:00:00Z
nclimate1435	18.1	25.92	2012-03-11T00:00:00Z
nclimate1447	18.5	25.17	2012-03-11T00:00:00Z
nclimate1449	16.5	25.46	2012-03-11T00:00:00Z
nclimate1453	18.8	28.31	2012-03-18T00:00:00Z
nclimate1424	17.6	29.39	2012-03-04T00:00:00Z
nclimate1434	18.3	24.36	2012-03-04T00:00:00Z
nclimate1448	17.8	29.58	2012-03-11T00:00:00Z
nclimate1454	18.1	29.34	2012-03-18T00:00:00Z
nclimate1513	10.1	13.38	2012-04-26T00:00:00Z
nclimate1400	29.2	68.02	2012-01-27T00:00:00Z
nclimate1402	18.6	34.27	2012-01-27T00:00:00Z
nclimate1404	18.6	33.28	2012-01-27T00:00:00Z
nclimate1406	17.8	33.07	2012-01-27T00:00:00Z
srep00774	17.9	24.82	2012-10-26T00:00:00Z
nclimate1408	15.5	31.44	2012-01-27T00:00:00Z
nphoton.2012.4	16.9	19.2	2012-02-01T00:00:00Z
nphoton.2011.348	15.4	26.55	2012-02-01T00:00:00Z
mi201275	16.3	23.31	2012-08-22T00:00:00Z
mi201280	16.8	25.74	2012-08-22T00:00:00Z
mi201277	16.3	25.97	2012-08-15T00:00:00Z
mi201276	16.9	25.57	2012-08-15T00:00:00Z
nphoton.2012.161	15.8	20.29	2012-06-28T00:00:00Z
nphoton.2012.71	26.5	48.71	2012-03-30T00:00:00Z
nphoton.2012.72	17.4	24.42	2012-03-30T00:00:00Z
mi201273	16.3	26.78	2012-08-08T00:00:00Z
nphoton.2012.149	19.6	32.7	2012-06-28T00:00:00Z
ismej201252	14.5	37.6	2012-10-16T00:00:00Z
mi201261	17.1	27.99	2012-08-01T00:00:00Z
nphoton.2012.119	21.1	15.39	2012-05-29T00:00:00Z
mi201259	18.5	26.32	2012-07-18T00:00:00Z
mi201271	16.5	26.43	2012-07-18T00:00:00Z
mi201269	17.6	26.49	2012-07-18T00:00:00Z
mi201250	15.5	25.04	2012-07-18T00:00:00Z
mi201270	18.2	28.59	2012-07-18T00:00:00Z
nphoton.2012.22	18.7	32.64	2012-02-29T00:00:00Z
nphoton.2012.11	18.3	27.37	2012-02-29T00:00:00Z
mi201263	17.1	28.05	2012-07-04T00:00:00Z
mi201265	16.6	27.42	2012-07-11T00:00:00Z
mi201267	17.2	26.5	2012-07-11T00:00:00Z
mi201252	17.9	27.48	2012-07-04T00:00:00Z
mi201256	16.0	25.5	2012-07-11T00:00:00Z
mi201260	16.7	25.27	2012-07-11T00:00:00Z
mi201258	16.7	27.01	2012-07-04T00:00:00Z
mi201262	16.3	26.2	2012-07-11T00:00:00Z
mi201266	17.6	29.33	2012-07-11T00:00:00Z
mi201257	17.4	25.45	2012-07-04T00:00:00Z
nphys2307	26.5	42.12	2012-05-13T00:00:00Z
nphys2346	26.9	58.53	2012-05-30T00:00:00Z
nrneurol.2012.197	18.5	29.17	2012-09-18T00:00:00Z
nchembio.954	16.7	27.48	2012-05-13T00:00:00Z
nchembio.958	17.6	29.51	2012-05-06T00:00:00Z
nphys2347	24.1	44.98	2012-05-30T00:00:00Z
nphys2320	16.3	26.84	2012-05-20T00:00:00Z
nrneurol.2012.113-c2	14.7	25.34	2012-09-18T00:00:00Z
nphys2340	20.7	17.01	2012-05-30T00:00:00Z
nphys2210	16.9	29.97	2012-02-05T00:00:00Z
nphys2372	20.0	34.9	2012-07-15T00:00:00Z
nphys2371	16.1	27.41	2012-07-15T00:00:00Z
nphys2373	16.2	27.13	2012-07-22T00:00:00Z
nchembio.1023	21.8	39.25	2012-07-15T00:00:00Z
nrneurol.2012.219	18.9	28.82	2012-11-13T00:00:00Z
nrrheum.2012.184	18.0	26.5	2012-11-13T00:00:00Z
nchembio.1039	18.6	15.9	2012-07-18T00:00:00Z
nrneph.2012.240	16.5	26.55	2012-10-23T00:00:00Z
nrneurol.2012.172	23.3	23.96	2012-08-14T00:00:00Z
