doi	fk_idx	cole_idx	date
43856-024-00664-y	15.5	27.13	2024-11-19T00:00:00Z
43856-024-00662-0	17.6	30.73	2024-11-18T00:00:00Z
43587-024-00658-4	18.6	33.86	2024-06-17T00:00:00Z
43587-024-00661-9	22.1	36.08	2024-06-14T00:00:00Z
43587-024-00623-1	27.9	49.12	2024-04-09T00:00:00Z
43587-024-00688-y	17.6	26.68	2024-08-21T00:00:00Z
42949-023-00138-5	16.9	31.65	2024-02-01T00:00:00Z
43856-024-00440-y	15.3	27.48	2024-02-21T00:00:00Z
43856-024-00445-7	17.9	30.2	2024-02-22T00:00:00Z
43856-024-00464-4	16.8	26.03	2024-02-28T00:00:00Z
43856-024-00452-8	16.1	16.71	2024-02-23T00:00:00Z
43856-024-00632-6	19.5	31.72	2024-10-14T00:00:00Z
42949-024-00141-4	18.2	28.35	2024-01-22T00:00:00Z
43856-023-00421-7	16.9	26.61	2024-01-05T00:00:00Z
43856-023-00405-7	16.8	24.94	2024-01-03T00:00:00Z
43856-024-00434-w	17.4	25.69	2024-01-30T00:00:00Z
42949-023-00139-4	16.9	29.44	2024-01-13T00:00:00Z
43856-023-00429-z	17.2	25.92	2024-01-22T00:00:00Z
43856-023-00431-5	17.8	28.52	2024-01-05T00:00:00Z
43856-023-00427-1	19.4	25.29	2024-01-12T00:00:00Z
42949-023-00137-6	16.5	25.74	2024-01-08T00:00:00Z
42949-024-00140-5	17.8	28.81	2024-01-26T00:00:00Z
43856-023-00428-0	18.0	27.6	2024-01-03T00:00:00Z
43856-024-00433-x	17.9	26.62	2024-01-13T00:00:00Z
43856-024-00438-6	16.9	27.95	2024-01-26T00:00:00Z
43856-023-00430-6	14.9	25.56	2024-01-05T00:00:00Z
43856-024-00639-z	19.8	30.79	2024-10-25T00:00:00Z
42949-024-00184-7	16.8	28.3	2024-10-11T00:00:00Z
43856-024-00579-8	18.6	58.92	2024-07-26T00:00:00Z
42949-024-00183-8	16.7	22.85	2024-10-19T00:00:00Z
42949-024-00169-6	20.0	53.83	2024-07-16T00:00:00Z
43856-024-00551-6	18.6	58.45	2024-06-28T00:00:00Z
43856-024-00501-2	19.8	60.83	2024-04-23T00:00:00Z
43856-024-00591-y	18.1	28.06	2024-08-29T00:00:00Z
42949-024-00160-1	18.8	53.83	2024-04-10T00:00:00Z
43856-024-00634-4	18.0	28.88	2024-10-17T00:00:00Z
43587-024-00572-9	16.9	28.69	2024-02-06T00:00:00Z
43856-024-00619-3	20.2	33.35	2024-10-16T00:00:00Z
43587-024-00604-4	22.8	29.48	2024-03-14T00:00:00Z
43856-024-00614-8	17.3	20.01	2024-10-16T00:00:00Z
43856-024-00631-7	16.6	25.85	2024-10-14T00:00:00Z
43856-024-00515-w	17.5	25.4	2024-05-15T00:00:00Z
43856-024-00508-9	16.6	25.69	2024-05-06T00:00:00Z
43856-024-00697-3	18.9	27.84	2024-12-20T00:00:00Z
43587-024-00664-6	17.7	25.18	2024-07-08T00:00:00Z
43587-024-00662-8	19.2	26.79	2024-06-28T00:00:00Z
43587-024-00677-1	20.5	40.48	2024-07-09T00:00:00Z
43587-024-00668-2	19.2	28.65	2024-07-12T00:00:00Z
43587-024-00673-5	26.7	44.37	2024-07-08T00:00:00Z
43587-024-00676-2	24.4	41.47	2024-07-10T00:00:00Z
43587-024-00613-3	16.7	27.01	2024-04-15T00:00:00Z
43587-024-00620-4	20.0	33.81	2024-04-30T00:00:00Z
43587-024-00637-9	23.5	40.55	2024-05-08T00:00:00Z
43587-024-00628-w	19.3	33.64	2024-05-09T00:00:00Z
43856-024-00606-8	18.5	25.87	2024-10-10T00:00:00Z
42949-024-00180-x	15.8	24.35	2024-10-10T00:00:00Z
43856-024-00626-4	17.5	27.08	2024-10-10T00:00:00Z
43587-024-00649-5	16.9	28.24	2024-06-12T00:00:00Z
43587-024-00608-0	18.9	27.71	2024-04-15T00:00:00Z
43587-024-00629-9	17.1	24.3	2024-04-24T00:00:00Z
42256-024-00911-w	18.9	21.24	2024-10-04T00:00:00Z
42254-024-00752-x	19.2	13.42	2024-10-04T00:00:00Z
42256-024-00917-4	17.3	27.14	2024-11-01T00:00:00Z
42255-024-01120-w	21.1	28.48	2024-09-11T00:00:00Z
42255-024-01034-7	17.5	26.21	2024-04-24T00:00:00Z
42256-024-00829-3	16.0	26.78	2024-05-02T00:00:00Z
42256-024-00810-0	17.6	34.83	2024-04-17T00:00:00Z
42255-024-01019-6	18.9	28.88	2024-04-25T00:00:00Z
42256-023-00778-3	18.4	28.06	2024-01-15T00:00:00Z
42255-023-00962-0	16.5	27.54	2024-01-26T00:00:00Z
42255-023-00948-y	17.5	28.93	2024-01-10T00:00:00Z
42255-023-00955-z	16.7	27.3	2024-01-19T00:00:00Z
42256-023-00780-9	16.9	30.72	2024-01-12T00:00:00Z
42256-023-00776-5	18.4	31.24	2024-01-08T00:00:00Z
42256-023-00779-2	16.9	29.15	2024-01-10T00:00:00Z
42255-023-00945-1	16.4	29.04	2024-01-08T00:00:00Z
42256-024-00897-5	15.8	29.39	2024-09-25T00:00:00Z
42255-024-01139-z	17.8	30.26	2024-09-23T00:00:00Z
42254-024-00736-x	17.4	12.6	2024-06-21T00:00:00Z
42254-024-00770-9	16.7	26.09	2024-10-28T00:00:00Z
42255-024-01125-5	19.4	29.75	2024-09-02T00:00:00Z
42255-024-01102-y	19.0	26.85	2024-09-10T00:00:00Z
42256-024-00823-9	15.9	28.86	2024-04-05T00:00:00Z
42255-024-01023-w	17.3	28.41	2024-04-11T00:00:00Z
42256-024-00824-8	16.2	28.52	2024-04-08T00:00:00Z
42254-024-00689-1	12.9	11.14	2024-01-10T00:00:00Z
42254-024-00687-3	13.2	11.96	2024-01-08T00:00:00Z
42256-024-00818-6	16.2	26.38	2024-04-05T00:00:00Z
42254-024-00777-2	20.3	28.88	2024-10-16T00:00:00Z
42255-024-01131-7	19.4	25.29	2024-10-17T00:00:00Z
42254-024-00773-6	15.9	28.63	2024-11-06T00:00:00Z
42254-023-00683-z	10.7	12.76	2024-01-09T00:00:00Z
42256-024-00935-2	16.3	28.87	2024-12-18T00:00:00Z
43017-024-00637-8	16.8	48.79	2024-12-23T00:00:00Z
42256-024-00952-1	20.4	20.08	2024-12-16T00:00:00Z
42256-024-00943-2	18.0	26.56	2024-12-13T00:00:00Z
42256-024-00951-2	15.7	52.57	2024-12-16T00:00:00Z
42256-024-00932-5	18.2	28.93	2024-12-13T00:00:00Z
42255-024-01174-w	15.8	28.46	2024-12-13T00:00:00Z
42256-024-00939-y	17.5	29.28	2024-12-05T00:00:00Z
42256-024-00940-5	17.4	33.97	2024-12-05T00:00:00Z
42255-024-01168-8	17.2	31.13	2024-12-03T00:00:00Z
43016-024-01111-w	15.1	53.12	2024-12-12T00:00:00Z
42256-024-00946-z	17.5	29.68	2024-12-09T00:00:00Z
42256-024-00948-x	15.7	52.98	2024-12-12T00:00:00Z
42256-024-00949-w	14.6	51.7	2024-12-12T00:00:00Z
42254-024-00787-0	17.2	15.44	2024-12-02T00:00:00Z
42254-024-00788-z	18.1	14.23	2024-12-02T00:00:00Z
42256-024-00909-4	18.0	26.33	2024-09-27T00:00:00Z
42256-024-00931-6	16.5	32.51	2024-12-06T00:00:00Z
42256-024-00938-z	19.4	35.94	2024-12-06T00:00:00Z
42256-024-00925-4	16.0	26.2	2024-11-26T00:00:00Z
43018-024-00863-5	17.8	29.45	2024-11-25T00:00:00Z
42256-024-00967-8	18.7	17.24	2024-12-18T00:00:00Z
42255-024-01162-0	17.8	30.09	2024-11-21T00:00:00Z
42255-024-01170-0	17.9	30.09	2024-11-22T00:00:00Z
42256-024-00937-0	15.9	29.39	2024-11-28T00:00:00Z
42256-024-00928-1	17.2	29.68	2024-11-19T00:00:00Z
42256-024-00904-9	16.8	29.67	2024-11-19T00:00:00Z
42255-024-01166-w	18.5	28.82	2024-11-26T00:00:00Z
42256-024-00930-7	17.4	28.64	2024-11-27T00:00:00Z
42255-024-01157-x	18.9	28.42	2024-11-25T00:00:00Z
44325-024-00025-7	17.0	27.25	2024-11-21T00:00:00Z
44325-024-00032-8	22.6	33.93	2024-11-21T00:00:00Z
44286-023-00002-4	18.2	28.59	2024-01-11T00:00:00Z
44284-023-00020-6	15.0	22.9	2024-01-18T00:00:00Z
44401-024-00006-z	22.5	24.95	2024-12-23T00:00:00Z
44284-023-00021-5	15.6	28.45	2024-01-17T00:00:00Z
44304-024-00035-6	15.8	25.57	2024-12-04T00:00:00Z
44286-024-00127-0	17.5	28.81	2024-09-27T00:00:00Z
44284-024-00074-0	17.6	26.79	2024-05-15T00:00:00Z
44310-024-00032-7	15.3	25.8	2024-08-30T00:00:00Z
42254-024-00744-x	16.5	22.28	2024-08-05T00:00:00Z
42254-024-00758-5	16.8	29.4	2024-09-19T00:00:00Z
42255-024-01043-6	19.1	31.6	2024-06-12T00:00:00Z
42255-024-01062-3	17.5	23.48	2024-06-27T00:00:00Z
42255-024-01077-w	16.2	25.51	2024-07-01T00:00:00Z
42255-024-01071-2	17.8	28.94	2024-06-20T00:00:00Z
42255-023-00954-0	15.8	17.76	2024-01-17T00:00:00Z
42256-024-00835-5	16.6	19.96	2024-04-24T00:00:00Z
42254-024-00717-0	8.1	10.15	2024-04-01T00:00:00Z
42254-024-00769-2	22.1	39.89	2024-10-07T00:00:00Z
42256-024-00877-9	16.2	18.8	2024-07-29T00:00:00Z
42256-024-00880-0	19.3	15.15	2024-07-24T00:00:00Z
42254-024-00756-7	15.8	27.47	2024-09-16T00:00:00Z
42255-024-01049-0	19.2	33.57	2024-05-24T00:00:00Z
42255-024-01035-6	20.5	27.44	2024-04-12T00:00:00Z
