doi	isHuman	fk_prct	ai_words	txt_words
nchem.1241	100.0	0.0	0	2350
nchem.1265	100.0	3.27	100	2301
nchem.1269	100.0	3.81	105	2246
nchem.1272	100.0	0.0	0	2171
nchem.1277	87.5	16.14	445	2352
nchem.1285	100.0	0.0	0	2534
nchem.1296	100.0	8.98	252	2370
nchem.1433	75.0	19.8	516	2478
nchem.1434	100.0	5.52	161	2339
nchem.1435	100.0	0.0	0	2410
nchem.1439	100.0	11.79	345	2455
nchem.1442	100.0	0.0	0	2317
nchem.1451	100.0	1.87	60	2264
nchem.1452	100.0	7.57	221	2274
nchem.1457	100.0	7.97	244	2532
nchem.1458	100.0	0.0	0	2263
nchem.1465	100.0	0.0	0	2273
nchem.1467	100.0	0.0	0	2375
ngeo1642	100.0	0.0	0	2287
ngeo1652	100.0	0.0	0	2455
ngeo1657	100.0	0.0	0	2311
ngeo1660	100.0	0.0	0	2354
ngeo1661	100.0	2.15	69	2423
ngeo1667	100.0	0.0	0	2371
ngeo1668	100.0	0.0	0	2536
ngeo1669	100.0	0.0	0	2411
ngeo1671	100.0	5.69	168	2296
ngeo1679	100.0	3.72	100	2187
nphoton.2012.233	100.0	1.95	58	2390
nphoton.2012.236	100.0	2.35	80	2595
nphoton.2012.243	100.0	2.74	82	2560
nphoton.2012.263	100.0	1.63	54	2401
nphoton.2012.277	100.0	0.0	0	2542
ijos201262	100.0	9.68	250	2099
ijos201263	62.5	43.3	1143	2354
nchem.1331	100.0	0.0	0	2261
nchem.1367	100.0	0.0	0	2380
nchem.1368	100.0	0.0	0	2490
nchem.1380	100.0	0.0	0	2229
nchem.1381	100.0	4.24	137	2538
nchem.1383	100.0	0.0	0	2550
nchem.1385	100.0	0.0	0	2255
nchem.1394	100.0	1.83	53	2244
nchem.1395	100.0	6.13	187	2378
nchem.1396	100.0	1.21	43	2378
nchem.1397	100.0	1.52	55	2464
nchem.1406	100.0	0.0	0	2300
nchem.1478	100.0	5.9	154	2110
nchem.1500	100.0	0.0	0	2173
nchembio.1082	100.0	4.21	129	2322
nchembio.966	100.0	0.0	0	2446
nphys2438	100.0	4.94	154	2502
nrneurol.2012.210	75.0	28.6	669	2091
nrrheum.2012.150	100.0	14.37	23	136
nrrheum.2012.167	62.5	41.65	1073	2271
cddis2012113	87.5	16.71	491	2463
cddis2012114	50.0	42.94	1030	2223
cddis2012120	75.0	28.32	688	2212
cddis2012124	87.5	15.9	432	2271
cddis2012125	62.5	49.46	1222	2320
cddis2012126	50.0	52.29	1320	2221
cddis2012127	100.0	17.36	467	2325
cddis2012130	75.0	20.25	554	2415
cddis2012131	100.0	8.15	227	2254
cddis2012132	75.0	27.42	700	2303
cddis2012133	100.0	14.38	408	2355
cddis2012134	100.0	16.75	434	2233
cddis2012135	25.0	63.34	1481	2231
cddis2012136	100.0	8.99	240	2247
cddis2012137	100.0	14.09	391	2316
cddis2012138	25.0	79.55	1905	2298
cddis2012139	100.0	13.21	358	2343
cddis2012140	100.0	1.31	33	2148
cddis2012141	50.0	45.88	1166	2246
cddis2012142	62.5	30.16	776	2299
cddis2012144	100.0	9.62	255	2208
cddis2012145	50.0	44.77	1168	2398
cddis2012146	0.0	92.14	2174	2332
cddis2012148	100.0	7.34	199	2080
cddis2012149	100.0	12.12	320	2198
cddis201251	75.0	27.48	707	2298
cddis201252	62.5	31.21	820	2363
cddis201263	37.5	58.69	1468	2333
nchembio.1023	100.0	12.64	322	2171
nchembio.954	100.0	0.0	0	41
nchembio.958	100.0	4.89	133	2265
nphys2210	100.0	0.0	0	2359
nphys2307	100.0	0.0	0	2461
nphys2320	100.0	0.98	35	2541
nphys2371	100.0	0.0	0	2519
nphys2372	100.0	2.47	80	2600
nphys2373	100.0	0.0	0	2488
nrneurol.2012.219	100.0	7.21	202	2139
nrrheum.2012.184	62.5	47.31	1216	2161
nchembio.1028	100.0	0.0	0	2256
nchembio.964	100.0	3.59	101	2332
nphys2327	100.0	0.0	0	2690
nclimate1389	100.0	6.08	190	2379
nclimate1410	100.0	1.18	39	2373
nclimate1455	100.0	0.0	0	2173
srep00793	100.0	0.0	0	2650
srep00797	100.0	0.0	0	2435
srep00800	100.0	0.0	0	2002
srep00804	100.0	1.04	25	1954
srep00811	100.0	0.0	0	2403
srep00825	75.0	26.65	708	2313
srep00831	100.0	0.0	0	2415
srep00833	100.0	0.0	0	2329
srep00835	100.0	0.0	0	2512
srep00841	100.0	0.91	31	2425
srep00843	100.0	11.11	330	2447
srep00845	100.0	0.0	0	572
srep00851	100.0	0.0	0	2221
srep00858	100.0	0.0	0	2296
srep00860	100.0	0.0	0	2407
srep00863	100.0	0.0	0	2558
srep00864	100.0	0.0	0	2333
srep00865	100.0	2.37	66	2205
srep00868	100.0	13.98	395	2275
srep00870	100.0	1.11	36	2330
srep00873	100.0	0.0	0	2476
srep00877	100.0	0.0	0	2224
srep00879	100.0	6.18	185	2367
cddis2011132	50.0	55.2	1364	2295
cddis2011136	75.0	26.78	694	2146
cddis2011138	100.0	1.83	57	2318
cddis2012106	75.0	29.62	781	2313
cddis201214	62.5	38.82	933	2183
cddis201268	100.0	9.99	290	2330
cddis201270	75.0	20.71	526	2325
cddis201272	75.0	23.47	652	2354
cddis201273	100.0	1.59	45	2358
cddis201274	25.0	75.74	1819	2249
cddis201276	100.0	7.33	200	2249
cddis201278	25.0	64.98	1542	2252
cddis201280	100.0	4.85	147	2245
cddis201281	50.0	40.09	998	2319
cddis201282	100.0	3.57	89	2138
cddis201283	62.5	30.09	760	2223
cddis201284	62.5	42.5	1026	2108
cddis201285	62.5	38.65	972	2269
cddis201287	37.5	58.52	1420	2365
cddis201288	75.0	22.21	610	2340
cddis201289	25.0	57.76	1407	2381
cddis201290	100.0	14.64	399	2391
cddis201291	100.0	8.4	240	2264
cddis201292	100.0	12.99	394	2475
cddis201293	100.0	8.21	216	2270
cddis201295	12.5	83.42	2126	2462
cddis201296	100.0	6.49	186	2201
cddis201297	75.0	26.69	661	2226
cddis201298	100.0	3.07	99	2449
cddis201299	87.5	17.48	484	2362
am20121	100.0	11.91	331	2253
am201212	100.0	4.38	88	1529
am201216	100.0	0.0	0	1814
am201218	87.5	12.74	325	2416
am20122	100.0	14.8	406	2260
am201220	100.0	0.0	0	2319
am201226	100.0	1.47	45	2363
am201234	100.0	5.23	146	2224
am201236	62.5	34.14	893	2434
am201238	100.0	13.22	354	2155
am201240	87.5	16.46	455	2337
am201250	100.0	13.66	376	2279
ijos201213	87.5	18.39	523	2291
ijos201214	50.0	53.74	1287	2238
ijos201217	62.5	39.4	1033	2322
ijos20122	100.0	1.56	44	2183
ijos201223	75.0	24.62	625	2294
ijos201224	100.0	6.34	188	2403
ijos20123	75.0	29.65	606	1862
ijos201234	100.0	1.74	53	2258
ijos201235	100.0	0.0	0	2378
ijos201240	100.0	16.23	441	2228
ijos201245	100.0	8.23	231	2321
ijos201254	100.0	9.99	281	2319
ijos201257	100.0	9.82	154	1313
ijos201259	100.0	1.0	31	2285
ijos20127	87.5	19.39	522	2281
ijos20128	100.0	14.18	387	2338
ijos20129	62.5	33.15	815	2239
mi2012106	62.5	32.15	871	2394
mi2012108	62.5	38.69	1052	2320
mi2012113	75.0	27.61	689	2324
nphoton.2012.124	100.0	0.0	0	2419
nphoton.2012.126	100.0	0.0	0	2168
nphoton.2012.139	100.0	14.32	413	2431
nphoton.2012.140	100.0	0.0	0	2470
nphoton.2012.141	100.0	1.32	42	2516
nphoton.2012.146	100.0	0.0	0	2399
nphoton.2012.148	100.0	0.0	0	2491
mi2012114	62.5	30.22	730	2183
mi2012116	75.0	20.01	538	2311
mi2012117	12.5	70.63	1714	2282
mi2012118	62.5	36.84	960	2356
mi2012119	75.0	28.79	760	2278
mi2012121	37.5	55.08	1333	2289
mi2012122	100.0	7.08	210	2328
nphoton.2012.127	100.0	0.0	0	2429
nphoton.2012.178	100.0	0.0	0	2318
nphoton.2012.179	100.0	0.0	0	2476
nphoton.2012.181	100.0	0.0	0	2401
nphoton.2012.190	100.0	0.0	0	2346
nphoton.2012.202	100.0	0.0	0	2342
nphoton.2012.204	100.0	0.0	0	2366
