,doi,fk_idx,cole_idx,date
22,s43018-020-0080-0,17.4,29.91,2020-06-22T00:00:00Z
0,s41564-020-00847-y,18.7,16.2,2020-12-21T00:00:00Z
1,s41564-020-00838-z,19.4,28.3,2020-12-21T00:00:00Z
2,s41564-020-00836-1,18.1,28.82,2020-12-21T00:00:00Z
3,s41564-020-00805-8,15.5,28.68,2020-12-21T00:00:00Z
4,s41564-020-00846-z,17.8,29.22,2020-12-21T00:00:00Z
5,s41564-020-00841-4,16.0,28.34,2020-12-18T00:00:00Z
6,s41578-020-00276-7,17.1,22.5,2020-12-21T00:00:00Z
7,s41560-020-00735-z,17.7,29.8,2020-12-07T00:00:00Z
8,s41578-020-00273-w,17.0,18.57,2020-12-09T00:00:00Z
9,s41564-020-00815-6,16.8,27.72,2020-11-30T00:00:00Z
10,s41560-020-00760-y,18.6,56.48,2020-12-09T00:00:00Z
11,s41560-020-00754-w,18.6,27.73,2020-12-23T00:00:00Z
12,s41477-020-00825-6,16.3,55.55,2020-12-01T00:00:00Z
13,s41564-020-00829-0,19.6,26.21,2020-12-21T00:00:00Z
14,s41564-020-00842-3,18.3,26.63,2020-12-21T00:00:00Z
15,s41578-020-00265-w,18.7,32.47,2020-12-23T00:00:00Z
0,s41560-019-0536-6,12.0,47.86,2020-01-20T00:00:00Z
1,s41564-020-0671-7,22.2,57.47,2020-01-21T00:00:00Z
2,s41536-020-0097-0,15.7,25.63,2020-06-15T00:00:00Z
3,s41535-020-0241-5,17.7,29.62,2020-06-18T00:00:00Z
4,s41541-020-0200-y,17.6,26.33,2020-06-12T00:00:00Z
5,s41536-020-0098-z,16.2,28.17,2020-06-12T00:00:00Z
6,s41541-020-0194-5,17.2,26.5,2020-06-09T00:00:00Z
7,s41541-020-0201-x,19.0,26.57,2020-06-16T00:00:00Z
8,s41535-020-0240-6,15.9,29.04,2020-06-16T00:00:00Z
9,s41564-020-0691-3,17.3,30.66,2020-03-23T00:00:00Z
10,s41564-020-0687-z,18.5,32.29,2020-03-09T00:00:00Z
11,s41564-020-0673-5,18.0,32.05,2020-03-02T00:00:00Z
12,s41560-020-0645-2,20.9,31.38,2020-07-13T00:00:00Z
